name1, name2, next, seconds, duration, process, trigger
,[A] Kernel,[A] in permissive mode,0.0000000,0.0090000,
,[A] in permissive mode,[KB] trace_init_flags_sys_exit,0.0090000,0.0786410,SELinux
,[KB] trace_init_flags_sys_exit,[KE] trace_init_flags_sys_exit,0.0876410,0.0000040
,[KE] trace_init_flags_sys_exit,[KB] trace_init_flags_sys_enter,0.0876450,0.0000050
,[KB] trace_init_flags_sys_enter,[KE] trace_init_flags_sys_enter,0.0876500,0.0000030
,[KE] trace_init_flags_sys_enter,[KB] set_real_mode_permissions,0.0876530,0.0000060
,[KB] set_real_mode_permissions,[KE] set_real_mode_permissions,0.0876590,0.0000150
,[KE] set_real_mode_permissions,[KB] trace_init_perf_perm_irq_work_exit,0.0876740,0.0000060
,[KB] trace_init_perf_perm_irq_work_exit,[KE] trace_init_perf_perm_irq_work_exit,0.0876800,0.0000030
,[KE] trace_init_perf_perm_irq_work_exit,[KB] init_hw_perf_events,0.0876830,0.0000070
,[KB] init_hw_perf_events,[KE] init_hw_perf_events,0.0876900,0.0000540
,[KE] init_hw_perf_events,[KB] validate_x2apic,0.0877440,0.0000070
,[KB] validate_x2apic,[KE] validate_x2apic,0.0877510,0.0000040
,[KE] validate_x2apic,[KB] register_trigger_all_cpu_backtrace,0.0877550,0.0000050
,[KB] register_trigger_all_cpu_backtrace,[KE] register_trigger_all_cpu_backtrace,0.0877600,0.0000040
,[KE] register_trigger_all_cpu_backtrace,[KB] spawn_ksoftirqd,0.0877640,0.0000040
,[KB] spawn_ksoftirqd,[KE] spawn_ksoftirqd,0.0877680,0.0008810
,[KE] spawn_ksoftirqd,[KB] init_workqueues,0.0886490,0.0000050
,[KB] init_workqueues,[KE] init_workqueues,0.0886540,0.0030290
,[KE] init_workqueues,[KB] migration_init,0.0916830,0.0000060
,[KB] migration_init,[KE] migration_init,0.0916890,0.0000060
,[KE] migration_init,[KB] check_cpu_stall_init,0.0916950,0.0000050
,[KB] check_cpu_stall_init,[KE] check_cpu_stall_init,0.0917000,0.0000040
,[KE] check_cpu_stall_init,[KB] rcu_spawn_gp_kthread,0.0917040,0.0000050
,[KB] rcu_spawn_gp_kthread,[KE] rcu_spawn_gp_kthread,0.0917090,0.0000780
,[KE] rcu_spawn_gp_kthread,[KB] cpu_stop_init,0.0917870,0.0000060
,[KB] cpu_stop_init,[KE] cpu_stop_init,0.0917930,0.0008850
,[KE] cpu_stop_init,[KB] relay_init,0.0926780,0.0000060
,[KB] relay_init,[KE] relay_init,0.0926840,0.0000050
,[KE] relay_init,[KB] init_events,0.0926890,0.0000050
,[KB] init_events,[KE] init_events,0.0926940,0.0000140
,[KE] init_events,[KB] init_trace_printk,0.0927080,0.0000050
,[KB] init_trace_printk,[KE] init_trace_printk,0.0927130,0.0000040
,[KE] init_trace_printk,[KB] event_trace_enable_again,0.0927170,0.0000060
,[KB] event_trace_enable_again,[KE] event_trace_enable_again,0.0927230,0.0000040
,[KE] event_trace_enable_again,[KB] jump_label_init_module,0.0927270,0.0000050
,[KB] jump_label_init_module,[KE] jump_label_init_module,0.0927320,0.0000040
,[KE] jump_label_init_module,[KB] dynamic_debug_init,0.0927360,0.0000050
,[KB] dynamic_debug_init,[KE] dynamic_debug_init,0.0927410,0.0010020
,[KE] dynamic_debug_init,[KB] rand_initialize,0.0937430,0.0000100
,[KB] rand_initialize,[KE] rand_initialize,0.0937530,0.0001620
,[KE] rand_initialize,[KB] proc_uid_cputime_init,0.0939150,0.0000050
,[KB] proc_uid_cputime_init,[KE] proc_uid_cputime_init,0.0939200,0.0000160
,[KE] proc_uid_cputime_init,[KB] bxt_charging_algo_init,0.0939360,0.0000070
,[KB] bxt_charging_algo_init,[KE] bxt_charging_algo_init,0.0939430,0.0000080
,[KE] bxt_charging_algo_init,[KB] init_mmap_min_addr,0.0939510,0.0379190
,[KB] init_mmap_min_addr,[KE] init_mmap_min_addr,0.1318700,0.0000080
,[KE] init_mmap_min_addr,[KB] init_cpufreq_transition_notifier_list,0.1318780,0.0000060
,[KB] init_cpufreq_transition_notifier_list,[KE] init_cpufreq_transition_notifier_list,0.1318840,0.0000060
,[KE] init_cpufreq_transition_notifier_list,[KB] net_ns_init,0.1318900,0.0000040
,[KB] net_ns_init,[KE] net_ns_init,0.1318940,0.0001360
,[KE] net_ns_init,[KB] e820_mark_nvs_memory,0.1320300,0.0004880
,[KB] e820_mark_nvs_memory,[KE] e820_mark_nvs_memory,0.1325180,0.0000080
